13-03-37-260155 | Run Id: auto_lr_low
13-03-37-261933 | Deployment notes: auto with 16 joints, root differences
13-03-37-263417 | Running mode: 0
13-03-37-264574 | Running model: autoencoder
13-03-37-266869 | Batch size: 1000
13-03-37-268100 | Sequence size: 50
13-03-37-270119 | Starting Time:13-03-37-260043
13-03-37-275462 | size of training data:100714.000000
13-03-37-277660 | size of test data:100446.000000
13-03-37-281846 | Model build started
13-03-42-473476 | Number of parameters: 2150448
13-03-42-473616 | Training started
13-03-49-743100 | TRAIN--> epoch 0 | error 2336.318279
13-04-00-597565 | VAL--> epoch 1 | error 0.169867, 100.000000
13-04-07-508633 | TRAIN--> epoch 1 | error 1362.475922
13-04-18-327557 | VAL--> epoch 2 | error 0.128451, 100.000000
13-04-25-674753 | TRAIN--> epoch 2 | error 794.561448
13-04-36-547212 | VAL--> epoch 3 | error 0.099114, 100.000000
13-04-43-825501 | TRAIN--> epoch 3 | error 512.372836
13-04-54-708776 | VAL--> epoch 4 | error 0.081854, 100.000000
13-05-01-554463 | TRAIN--> epoch 4 | error 379.673989
13-05-12-449588 | VAL--> epoch 5 | error 0.072087, 100.000000
13-05-19-901270 | TRAIN--> epoch 5 | error 306.462364
13-05-30-832325 | VAL--> epoch 6 | error 0.065575, 100.000000
13-05-38-049809 | TRAIN--> epoch 6 | error 256.144821
13-05-48-923685 | VAL--> epoch 7 | error 0.060495, 100.000000
13-05-56-404113 | TRAIN--> epoch 7 | error 217.220757
13-06-07-315650 | VAL--> epoch 8 | error 0.056281, 100.000000
13-06-14-992875 | TRAIN--> epoch 8 | error 186.569010
13-06-25-911121 | VAL--> epoch 9 | error 0.052725, 100.000000
13-06-33-114915 | TRAIN--> epoch 9 | error 161.916309
13-06-44-007271 | VAL--> epoch 10 | error 0.049652, 100.000000
13-06-51-767231 | TRAIN--> epoch 10 | error 141.995544
13-07-02-711988 | VAL--> epoch 11 | error 0.046993, 100.000000
13-07-09-658814 | TRAIN--> epoch 11 | error 125.679871
13-07-20-587709 | VAL--> epoch 12 | error 0.044660, 100.000000
13-07-28-055548 | TRAIN--> epoch 12 | error 112.197079
13-07-38-986561 | VAL--> epoch 13 | error 0.042608, 100.000000
13-07-46-383213 | TRAIN--> epoch 13 | error 101.059476
13-07-57-325012 | VAL--> epoch 14 | error 0.040795, 100.000000
13-08-04-877486 | TRAIN--> epoch 14 | error 91.625173
13-08-15-771201 | VAL--> epoch 15 | error 0.039174, 100.000000
13-08-22-754601 | TRAIN--> epoch 15 | error 83.611000
13-08-33-681670 | VAL--> epoch 16 | error 0.037717, 100.000000
13-08-41-174648 | TRAIN--> epoch 16 | error 76.776409
13-08-52-192931 | VAL--> epoch 17 | error 0.036410, 100.000000
13-08-59-550761 | TRAIN--> epoch 17 | error 70.818064
13-09-10-470034 | VAL--> epoch 18 | error 0.035222, 100.000000
13-09-17-436178 | TRAIN--> epoch 18 | error 65.610576
13-09-28-375165 | VAL--> epoch 19 | error 0.034146, 100.000000
13-09-35-786241 | TRAIN--> epoch 19 | error 61.016785
13-09-46-688096 | VAL--> epoch 20 | error 0.033153, 100.000000
13-09-54-044165 | TRAIN--> epoch 20 | error 56.970669
13-10-04-925608 | VAL--> epoch 21 | error 0.032248, 100.000000
13-10-12-556903 | TRAIN--> epoch 21 | error 53.357831
13-10-23-404349 | VAL--> epoch 22 | error 0.031408, 100.000000
13-10-30-593399 | TRAIN--> epoch 22 | error 50.134035
13-10-41-533700 | VAL--> epoch 23 | error 0.030641, 100.000000
13-10-49-287443 | TRAIN--> epoch 23 | error 47.244860
13-11-00-275655 | VAL--> epoch 24 | error 0.029943, 100.000000
13-11-07-785133 | TRAIN--> epoch 24 | error 44.623516
13-11-18-635386 | VAL--> epoch 25 | error 0.029289, 100.000000
13-11-26-319271 | TRAIN--> epoch 25 | error 42.260229
13-11-37-275286 | VAL--> epoch 26 | error 0.028682, 100.000000
13-11-44-471010 | TRAIN--> epoch 26 | error 40.078695
13-11-55-352783 | VAL--> epoch 27 | error 0.028125, 100.000000
13-12-02-941339 | TRAIN--> epoch 27 | error 38.101596
13-12-13-836941 | VAL--> epoch 28 | error 0.027594, 100.000000
13-12-21-374074 | TRAIN--> epoch 28 | error 36.300264
13-12-32-297580 | VAL--> epoch 29 | error 0.027111, 100.000000
13-12-39-983693 | TRAIN--> epoch 29 | error 34.639036
13-12-50-970433 | VAL--> epoch 30 | error 0.026660, 100.000000
13-12-58-792579 | TRAIN--> epoch 30 | error 33.112502
13-13-09-852362 | VAL--> epoch 31 | error 0.026236, 100.000000
13-13-16-999557 | TRAIN--> epoch 31 | error 31.704263
13-13-27-954223 | VAL--> epoch 32 | error 0.025840, 100.000000
13-13-35-464925 | TRAIN--> epoch 32 | error 30.381712
13-13-46-345971 | VAL--> epoch 33 | error 0.025455, 100.000000
13-13-53-376365 | TRAIN--> epoch 33 | error 29.161513
13-14-04-326115 | VAL--> epoch 34 | error 0.025088, 100.000000
13-14-11-727661 | TRAIN--> epoch 34 | error 28.007473
13-14-22-724297 | VAL--> epoch 35 | error 0.024744, 100.000000
13-14-30-082197 | TRAIN--> epoch 35 | error 26.938933
13-14-41-044995 | VAL--> epoch 36 | error 0.024407, 100.000000
13-14-48-602914 | TRAIN--> epoch 36 | error 25.925168
13-14-59-543150 | VAL--> epoch 37 | error 0.024101, 100.000000
13-15-06-695871 | TRAIN--> epoch 37 | error 24.982043
13-15-17-657489 | VAL--> epoch 38 | error 0.023780, 100.000000
13-15-25-235247 | TRAIN--> epoch 38 | error 24.075915
